brand,p,f,su,so
A,21.43,44.87,5.11,1.77
A,21.26,43.89,5.34,1.79
A,20.15,43.13,4.79,1.61
A,21.28,41.65,4.82,1.64
A,20.97,41.34,4.71,1.58
A,21.41,41.6,5.28,1.75
A,21.19,45.29,5.16,1.66
A,21.2,45.59,4.94,1.65
A,20,45.12,4.93,1.56
A,19.65,42.45,4.81,1.65
A,17.88,44.33,5.26,1.76
A,20.06,39.74,5.24,1.69
A,20.35,40.44,5.43,1.61
A,19.05,42.29,5.27,1.71
A,20.01,45.59,4.97,1.7
A,20.58,42.26,4.96,1.63
A,18.05,41.88,5.22,1.7
A,19.78,44.2,4.8,1.61
A,18.71,43.99,4.86,1.62
A,21.1,43.37,5.05,1.69
B,14.38,25.72,3.26,0.93
B,13.14,30.38,3.55,0.99
B,13.21,27.66,3.64,1
B,13.35,29.2,3.52,1.05
B,12.56,29.95,2.99,0.81
B,13.28,25.25,3.1,0.8
B,13.96,29.25,3.42,0.96
B,13.63,29.59,3.41,0.98
B,13.24,28.91,3.59,1.06
B,14.26,22.99,3.19,0.9
B,14.06,24.95,3.14,0.82
B,13.79,29.57,3.52,0.95
B,14.18,24.6,3.57,1.12
B,13.4,28.84,3.48,0.98
B,13.06,29.46,3.51,1.04
B,13.85,27.64,3.71,1.1
B,14.05,24.73,3.32,0.92
B,13.64,27.04,3.57,0.98
B,13.72,28.28,3.62,1.05
B,13.13,28.82,2.94,0.8
C,26.05,21.4,3.44,0.5
C,28.48,17.37,3.53,0.43
C,25.63,19.28,3.48,0.55
C,23.98,23.37,3,0.52
C,28.3,15.79,3.47,0.45
C,27.98,18.69,3.58,0.48
C,26.24,16.41,3.61,0.6
C,26.31,14.77,3.51,0.53
C,26.03,21.54,3.71,0.6
C,25.82,20.79,3.33,0.54
C,24.53,21.08,2.84,0.34
C,24.13,19.75,3.21,0.52
C,26.17,21.29,3.36,0.48
C,26.76,19.99,3.64,0.46
C,26.25,16.45,3.92,0.38
C,26.91,18,2.21,0.41
C,24.98,17.2,3.01,0.34
C,27.42,17.42,3.05,0.33
C,23.95,24.24,3.47,0.57
C,26.34,16.47,3.2,0.43
D,21.38,24.96,4.6,0.77
D,21.6,25.87,4.51,0.73
D,22.44,19.61,4.06,0.6
D,21.79,21.17,4.06,0.76
D,21.75,20.83,4.01,0.67
D,21.96,20.88,4.02,0.7
D,22.29,21.3,4.08,0.74
D,21.48,21.69,4.03,0.67
D,22.25,19.53,4.04,0.68
D,22.65,21.59,5.22,0.93
D,22.73,21.05,5.22,0.98
D,22.13,21.01,4.09,0.72
D,22.05,20.57,4.04,0.7
D,21.31,21.05,4.01,0.73
D,22.36,20.39,4.02,0.7
D,22.49,19.53,4.18,0.62
D,22.43,18.68,4.1,0.72
D,22.95,21.93,5.26,0.85
D,21.51,25.44,4.58,0.6
D,21.43,26,4.71,0.69
E,7.44,16.24,1.31,0.39
E,7.77,17.07,1.37,0.4
E,8.67,4.44,1.54,0.51
E,7.75,14.87,1.42,0.42
E,7.81,13.67,1.36,0.4
E,8.1,16.44,1.45,0.44
E,7.75,15.67,1.43,0.44
E,8.3,13.05,1.64,0.49
E,7.62,19.07,1.44,0.44
E,7.54,19.56,1.32,0.43
E,7.93,13.58,1.43,0.45
E,7.52,12.46,1.51,0.47
E,7.98,14.54,1.46,0.49
E,7.8,14.77,1.46,0.46
E,7.47,17.67,1.44,0.47
E,6.98,20.02,1.35,0.46
E,7.26,18.8,1.58,0.43
E,7.4,8.18,1.63,0.53
E,8.3,13.05,1.64,0.49
E,7.54,13.93,1.45,0.44
